	Gash Fracture (Strike/Dip)				Shear Fracture (Strike/Dip)					Sesar N X E/X (Strike/Dip)		
	Strike	Dip			Strike	Dip				Strike	Dip	
	178	77			173	52				107	48	
	191	69			122	73						
	194	68			171	80						
	194	88			124	65						
	190	83			183	82						
	194	78			117	86						
 	199	76			186	78						
	205	70			128	64						
	195	70			183	64						
 	189	65			235	79						
	186	60			182	83						
	197	66			115	74						
	192	50			167	78						
	201	55			123	84						
	187	43			140	71						
	189	66			94	80						
	196	45			315	78						
	195	84			213	74						
	197	80			128	84						
	193	67			124	81						
	190	60			173	74						
	199	77			94	78						
					170	63						
					184	71						
					180	81						
					120	88						
					240	73						
					168	78						
					240	12						
					124	24						
					170	76						
					96	84						
					174	81						
					124	74						
					220	79						
					140	81						
					200	72						
					128	83						
					137	77						
					246	78						
