Gash Fracture (Strike/Dip);;;;;;Shear Fracture (Strike/Dip);;;;Sesar N X E/X (Strike/Dip);;
Strike;Strike;;;;;Strike;Dip;;;Strike;Dip;
33;15;;;;;69;42;;;136;65;
40;16;;;;;70;45;;;;;
48;24;;;;;61;51;;;;;
32;23;;;;;63;55;;;;;
27;44;;;;;57;47;;;;;
51;31;;;;;59;46;;;;;
29;52;;;;;63;49;;;;;
37;27;;;;;68;53;;;;;
41;40;;;;;65;51;;;;;
31;26;;;;;55;44;;;;;
28;48;;;;;61;40;;;;;
37;12;;;;;69;51;;;;;
34;38;;;;;104;38;;;;;
25;22;;;;;111;43;;;;;
49;41;;;;;99;46;;;;;
35;54;;;;;95;41;;;;;
;;;;;;104;48;;;;;
;;;;;;119;50;;;;;
;;;;;;91;47;;;;;
;;;;;;101;42;;;;;
;;;;;;97;46;;;;;
;;;;;;114;49;;;;;
;;;;;;112;42;;;;;
;;;;;;102;46;;;;;
